name,ra,dec,z,lum_oiii,petro_abs_mag,petro_app_mag,central,gz2id,gz2class
J083732.70+284218.7,129.38627,28.705196,0.011585,39.545662,-20.2363625,12.486550366656154,1,201.0,SBb+t
J033013.26-053236.1,52.55526500000001,-5.54335,0.013147,39.136555,-20.153591199999997,12.846555740664199,1,,
J094529.37+093610.4,146.37237,9.602897,0.013277,40.225188,-18.5349236,14.486804338547053,1,7973.0,SBb
J145706.80+494008.5,224.27832999999998,49.669019,0.013399000000000001,39.383223604741374,-20.06917,12.972621394560685,0,655.0,Sb2m
J122342.81+581446.1,185.92837,58.246151,0.014527000000000003,39.934197116119684,-17.8375931,15.381575499839931,0,29372.0,Sc
J155252.84+403848.2,238.22016000000002,40.646728,0.015106999999999999,39.688551,-19.9193516,13.385783366808909,1,1198.0,SBc4t
J095033.16+441851.8,147.63815,44.314381,0.015319,39.65080305025902,-19.5080795,13.82766523204016,0,3096.0,Ei
J080538.66+261005.5,121.4111,26.16819,0.016953,39.859901,-20.11273,13.445780442298286,1,1238.0,SBc+t
J110233.29-001727.6,165.6387,-0.29101,0.017294,38.577423,-18.367067300000002,15.235247122062356,1,23342.0,Er
J033458.00-054853.3,53.74168,-5.814796,0.018324,38.998348,-18.2286224,15.501004498828163,1,,
J011059.31+002601.1,17.747137,0.433651,0.018843000000000002,39.542947,-18.4437103,15.347415180474727,1,24555.0,Ei
J120114.35-034041.0,180.3098,-3.678067,0.019549,40.825358,-19.6012993,14.270853564697545,1,5878.0,Ei
J112536.17+542257.2,171.40069,54.382555,0.020641999999999997,40.493327,-18.783144,15.208930596982455,1,19869.0,Ei(m)
J120257.82+045045.1,180.7409,4.84585,0.020675,39.634736,-20.4412098,13.554387385978648,1,1516.0,SBc2t
J111607.65+412353.2,169.03189,41.398105,0.020843,39.571875,-19.529272100000004,14.484172826257241,1,7650.0,Er
J114530.26+094344.8,176.37607,9.7291,0.021371,39.17394899999999,-19.571867,14.496762301533826,1,8035.0,SBb(r)
J132428.24+044629.6,201.11768,4.774889,0.02143,39.576382,-18.6914368,15.383275337096133,1,28854.0,Ei
J082510.23+375919.8,126.29263,37.988820000000004,0.021431,40.416423,-19.3207531,14.754061993825145,1,10149.0,Ec
J093812.26+074340.1,144.5511,7.727792,0.021894999999999998,40.055331,-19.6414452,14.480638739840836,1,7850.0,Er
J133815.87+043233.3,204.56613000000002,4.542593,0.022975,40.967855,-21.3850384,12.843356707936707,1,482.0,Ec
J100207.04+030327.7,150.52933000000004,3.057686,0.023176,40.305552,-20.2064686,14.041168253569596,1,3389.0,SBb(r)
