name1,ra1,dec1,z1,lum_oiii1,petro_abs_mag1,petro_app_mag1,central1,gz2id1,gz2class1,name2,ra2,dec2,z2,lum_oiii2,petro_abs_mag2,petro_app_mag2,central2,gz2id2,gz2class2
J083732.70+284218.7,129.38627,28.705196,0.011585,39.545662,-20.2363625,12.486550366656154,1.0,201.0,SBb+t,J121808.09+060822.3,184.53372,6.1395386,0.018479,39.599680392250974,-20.1877403,13.560431359322116,1.0,1818.0,SBb2m
J083732.70+284218.7,129.38627,28.705196,0.011585,39.545662,-20.2363625,12.486550366656154,1.0,201.0,SBb+t,J015027.63-083122.5,27.615131,-8.5229305,0.0178238,39.44233352268434,-20.265583,13.403124396339992,1.0,,
J083732.70+284218.7,129.38627,28.705196,0.011585,39.545662,-20.2363625,12.486550366656154,1.0,201.0,SBb+t,J133524.55+012438.0,203.8523,1.4105577,0.0175068,39.74630407248383,-20.2722931,13.356926923138836,1.0,1083.0,SBb+m
J083732.70+284218.7,129.38627,28.705196,0.011585,39.545662,-20.2363625,12.486550366656154,1.0,201.0,SBb+t,J214353.46-080731.1,325.97275,-8.125297,0.019367500000000003,39.33298550290258,-20.232336,13.619265167063775,1.0,,
J083732.70+284218.7,129.38627,28.705196,0.011585,39.545662,-20.2363625,12.486550366656154,1.0,201.0,SBb+t,J115912.88-003125.7,179.80368,-0.52380675,0.0213701,39.29349784436583,-20.3252697,13.743266684526624,1.0,1981.0,Sa(r)
J033013.26-053236.1,52.55526500000001,-5.54335,0.013147,39.136555,-20.1535912,12.846555740664199,1.0,,,J010709.16-003718.1,16.788159,-0.62170676,0.017739599999999998,39.13275,-20.1311321,13.527154886713939,1.0,1658.0,Er
J033013.26-053236.1,52.55526500000001,-5.54335,0.013147,39.136555,-20.1535912,12.846555740664199,1.0,,,J100811.56+422507.2,152.04818,42.41868,0.0231346,39.140683215576246,-20.226841,14.016846086112544,1.0,3759.0,Sc?m
J033013.26-053236.1,52.55526500000001,-5.54335,0.013147,39.136555,-20.1535912,12.846555740664199,1.0,,,J084225.77+371315.7,130.60736,37.221036,0.0129031,39.11137522786206,-20.0629444,12.896136927645786,1.0,506.0,Sb?m
J033013.26-053236.1,52.55526500000001,-5.54335,0.013147,39.136555,-20.1535912,12.846555740664199,1.0,,,J120447.21-024312.2,181.19669,-2.7200679,0.019580700000000003,39.10690019185161,-20.066522600000006,13.809200426935362,1.0,2812.0,SBb2l(r)
J033013.26-053236.1,52.55526500000001,-5.54335,0.013147,39.136555,-20.1535912,12.846555740664199,1.0,,,J025242.18-084815.7,43.175761,-8.804368199999997,0.017709400000000004,39.18462570877567,-20.101778,13.55275960023385,1.0,,
