NAME2,I,type,other
J231221.42+143633.8,0.07661286209309384,a,
J130850.11-004902.3,0.10724085076165674,b,
J034240.10-062254.6,0.08474154518349271,1,
J120003.17+081054.2,0.12490041292251487,1,
J033733.38-063113.6,0.042871282731121854,b,
J010709.16-003718.1,0.0593245904441058,a,
J100811.56+422507.2,0.12279085096906225,1,
J231644.67+132858.8,0.11472001409291775,1,
J133305.34-010208.9,0.12092103415697722,1,
J135429.16+541950.4,0.07381500675761163,1,
J100213.84+114120.5,0.3850143381133141,2,
J111353.24+044806.2,0.0814584550448118,a,
J085618.72-002629.4,0.07007767853683601,b,
J152645.10+334059.8,0.0751888085840082,f,
J012529.13-000326.3,0.0467402617144398,b,
J135314.12+002650.2,0.09777703055126782,b,
J121808.09+060822.3,0.08212276471038098,d,
J092639.80+455049.9,0.09579692973119328,b,
J113252.56+433053.9,0.0824875307314075,d,
J153838.50+365730.1,0.06368821283661627,d,
J232327.04+141933.1,0.061807738273153924,d,
J100431.83+380021.7,0.07631367178955484,d,
J083726.59+400208.1,0.08985355216075197,d,
J101006.19+120214.3,0.08324328361650253,b,
J085038.82+301031.2,0.07843861364335715,c,
J134250.16+471513.9,0.09024175691974516,c,
J121326.84-000548.1,0.13151855968911574,a,
J094636.06+081034.8,0.09251788526244986,a,
J113148.60+005147.7,0.1271890544684447,c,
J134858.52+033120.9,0.11003802048547257,b,
J091835.38+495042.5,0.10202351237482224,a,
J233813.30+143153.0,0.0750614238391611,b,
J110338.36-005208.4,0.10086747658865547,b,
J221210.26+135703.6,0.7486809343039843,c,
J141547.22+411824.4,0.08453936718092496,b,
J225900.18+132951.7,0.06610306342579833,b,
J111038.86+034519.6,0.0633213537180045,b,
J082854.33+343906.0,0.2935301950941031,3,
J024440.65-090735.5,0.04536369698027416,f,
J130709.78+523247.1,0.07920411916792583,b,
J001947.33+003526.9,0.09813735411932467,f,
J102332.53+460328.0,0.12418539101407833,f,
J135848.07+045426.9,0.10078873164681806,b,
J161433.82+414240.5,0.07059792148375638,b,
J081956.74+392654.8,0.13714611419439116,f,
J171934.81+563748.1,0.10899931524658836,f,
J111406.32+554239.1,0.12919528469243927,1,
J151944.30+441918.6,0.11668995957795505,1,
J090015.62+401748.4,0.14306171981582158,1,
J114422.81+082315.1,0.07678294869916576,d,
J145627.95+021224.7,0.08618907751343625,b,
J091431.31+491657.5,0.07619422329317989,f,
J164106.57+460014.6,0.07955993943633287,d,
J090838.46+323534.6,0.038447195408251464,c,
J132505.37-005411.2,0.0792076264629734,2,
J131038.58+611623.6,0.10534740188597284,a,
J121626.72+105342.4,0.13394636503051488,2,
J102813.91+590602.3,0.11337995468165472,b,
J004436.94-094600.4,0.170596279221384,f,
J085333.60+394537.3,0.1818699391331887,2,
J085837.31+515242.6,0.11286944326300992,f,
J085949.05+050339.1,0.1378922145495527,1,
J080547.35+225434.9,0.1677955032614475,2,
J023310.79-074813.4,0.06090678967365413,b,
J073715.73+313110.9,0.083538800349091,f,
J111835.82+002511.2,0.10560888105782128,a,
J081006.07+245519.5,0.09699512341768776,f,
J094814.71+574444.5,0.10433134202154776,b,
J113446.25+025515.7,0.11173038941528488,d,
J093917.26+363343.9,0.11301509068936512,b,
J220316.00+003415.9,0.16398454523348235,1,
J104000.58+390720.0,0.0955713553765878,1,
J141451.35+030751.3,0.06892558565871038,b,
J144545.12+513450.9,0.19534648138587093,3,
J172717.39+582907.7,0.08849942716595502,2,
J034545.16-071526.9,0.1117429551827191,b,
J074953.38+451454.6,0.0747059763587177,b,
J094511.97-000712.1,0.12393633424268193,f,
J080328.07+250609.6,0.1754113524156475,3,
J005329.92-084604.0,0.12093727151397407,1,
J213206.88+110637.0,0.10328030656587288,f,
J104833.59+475914.7,0.13712631621730334,2,
J134640.80+522836.6,0.0995973615716855,f,
J085828.60+000124.5,0.07487593512197217,f,
J005940.11+151951.5,0.0880187210182822,1,
J123804.16+482042.3,0.07582586500094726,f,
J135857.98+614050.6,0.0719971468689816,b,
J143143.18-021248.8,0.12607990956021534,2,
J131835.67+140248.5,0.08998042185905819,a,
J133023.78+022058.6,0.11870501989817245,b,
J170622.22+212422.2,0.13418651216660354,f,
J143445.75+005319.1,0.08874475527293614,b,
J110442.28+405732.1,0.09491045892769208,b,
J082403.67+515415.7,0.13497361520335302,f,
J082443.29+295923.6,0.134482356823128,f,
J101658.93+132357.5,0.058188824458823986,b,
J141026.83-004956.6,0.11033699576947824,f,
J211224.69+112431.4,0.10862139587379126,1,
J082825.87+250052.7,0.08586971198338346,2,
J110158.99+451340.9,0.19627562767277887,1,3
J230442.82-093345.3,0.09556406782208528,f,
J103443.72+110310.7,0.0706236221300542,f,
J114930.79+424541.1,0.08494438390472912,f,
J095812.60+110635.5,0.0719397628209738,b,
J162441.32+345001.7,0.11406206035078145,f,
J130238.75+452637.3,0.08365777858430061,b,
J115704.55+434937.6,0.09938406200984573,f,
J030801.40-005325.8,0.07710123404027992,d,
J124148.07+474231.9,0.12067746260273199,c,
J110529.83+033935.9,0.08806263577328778,b,
J092346.59+352900.3,0.18248546567441576,f,
J080707.18+361400.5,0.08683869890115915,1,
J110133.96+453913.9,0.11487173990287562,1,
J075953.49+232324.2,0.0905727407086446,1,
J133548.25+025956.1,0.07638505711880783,1,
J130905.60+113802.9,0.07281857535578097,d,
J103719.33+433515.3,0.1055293328901472,f,
J090554.49+471045.5,0.24670716533140746,3,
J220141.64+115124.4,0.12995722117561112,2,
J150759.30+011354.3,0.10685535455509236,2,
J011905.14+003745.0,0.15820976201721,2,
J111319.24+044425.2,0.13021446534672235,f,
J094705.72+050159.9,0.06278600533429117,a,
J115359.07+130853.7,0.10219079069934016,b,
J030632.00-062521.2,0.11153068475803077,b,
J110617.71-004542.2,0.06303397499890442,a,
J110219.75+123107.1,0.07599721175130374,a,
J113132.72+523921.6,0.10564156888309433,a,
J083658.39+051119.1,0.13775640358234092,c,
J135933.18+560228.7,0.09951210475930096,2,
J230343.06+135535.5,0.07361542384243183,f,
J100356.91+013044.5,0.05769771139509525,a,
J110326.80+664011.0,0.09919425380859802,b,
J144837.04+514331.0,0.09371636977104654,b,
J085214.30+525323.9,0.14806630367951007,1,
J114504.88+463733.6,0.06725696197357825,a,
J135801.16+390138.2,0.051331424535642,b,
J143416.62+371202.7,0.10030703551907454,2,
J163934.96+355604.5,0.14629547036676302,b,
J145205.74+381059.3,0.18621543256076395,2,
J120138.04+061245.2,0.07390494640306637,b,
J083057.51+421230.2,0.10332458732930014,f,
J173752.68+540339.5,0.07889380431511926,d,
J164858.61+400041.4,0.07249104551242076,d,
J155130.28+490728.1,0.13049048407378752,d,
J144725.16+032627.9,0.0739056395689543,f,
J112221.15+462549.8,0.08749244232281532,a,
J170408.72+312902.3,0.09443922245127732,f,
J095145.09+031620.5,0.0992805478749368,d,
J112320.25+055107.3,0.1218522056776904,d,
J003735.81+001650.5,0.08767146608017154,1,e
J120908.81+440011.5,0.1267170640524765,1,
J152041.34+490623.6,0.10650848632934448,1,
J153908.88+322425.4,0.20952648166685814,1,
J085814.87+353901.1,0.07150945666992,b,
J104248.63+110000.9,0.0645578247816942,f,
J160534.65+323940.9,0.2259655967184305,1,
J085015.01+534032.0,0.10703983795435502,d,
J082253.84+055615.5,0.0701085356894588,b,
J143838.87+363354.8,0.09499453118265004,b,
J092206.32+524209.7,0.12398814063483556,b,
J034330.26-073507.4,0.07229207856079367,a,
J080359.20+234520.5,0.09224117910620393,a,
J120914.11+470330.1,0.10473462725509387,f,
J131915.90+543606.3,0.09344186472615383,d,
J215226.04-081025.0,0.19986093242457936,2,
J172837.52+570842.2,0.11863595664653735,1,
J160205.51+523316.9,0.07965579047372258,f,
J132409.64+051535.1,0.2525126456191764,3,
J211718.29-061346.7,0.08314105912531057,f,
J084707.73+045127.7,0.14191741333710825,a,
J162529.22+403821.9,0.15392335019358375,b,
J001601.32+155634.8,0.09962010184718212,a,
J093821.55+063130.9,0.07289592539659333,f,
J094321.54+385457.7,0.07940666784789653,b,
J105546.79+440258.8,0.09035478575078999,a,
J102332.55+522031.4,0.17502239935491673,1,3
J134527.23+475521.8,0.15675754659513666,1,4?
J131408.61-002628.0,0.09306425866367618,1,
J125821.16+045308.4,0.17750921027035066,3,
J133853.41+004519.4,0.10379723764431838,f,
J153138.87+351649.7,0.09370036641739383,d,
J131704.95+014940.7,0.14012710686707472,1,
J121649.03+472619.7,0.11627919346675873,4,1
J105646.12+053940.0,0.13277634983399658,1,
J095914.76+125916.5,0.19882821596578729,2,
J153928.56+465859.7,0.08388437873058903,f,
J110621.38+502316.8,0.0938137683358492,b,
J134049.96+052458.6,0.08999355993636943,b,
J083523.72+420909.6,0.12983581046645312,2,
J121451.24-032922.2,0.11978449219745547,1,
J080248.17+450204.4,0.07756765383203652,e,
J110630.66+063333.9,0.13221940850068994,d,
J031100.77-082528.3,0.06128874554340729,d,
J133817.77+481641.1,0.13184495804949098,4,
J085326.21+454609.8,0.0677583046649486,f,
J100008.40+005905.3,0.10507242552931692,a,
J150843.24+405554.6,0.09421964893530646,f,
J171725.53+291107.9,0.060577928396232786,f,
J111636.49+553856.8,0.08857378894101467,b,
J160151.51+024810.0,0.3089978844216661,2,4?
J143318.48+344404.4,0.14438530838279606,3,
J093003.56+341325.3,0.07589050606278391,f,
J081200.75+390045.2,0.17884098032440707,1,
J090131.21+491931.4,0.1026650087047671,f,
J171459.27+644825.1,0.10646399037561742,2,
J103111.53+605605.4,0.09055525899526788,d,
J144723.12+020545.1,0.12741606781089165,f,
J122436.01+551650.6,0.137210404524114,c,2
J021404.40+131156.3,0.08477192298291593,f,
J113240.25+525701.4,0.23715578888819355,4,
J150126.33+020410.8,0.07342051126422874,f,
J215259.07-000903.4,0.07421753633853075,f,
J074535.90+243443.7,0.18988783486244054,3,
J081535.09+264143.5,0.2868701471481544,f,
J075438.46+423238.8,0.05083853385736837,a,
J120057.53-024523.8,0.11141044589947648,c,
J114959.98+475825.7,0.09969306234763324,a,
J075424.26+343047.9,0.06455596211071643,a,
J004214.99-104414.9,0.12183568277085995,b,
J080846.81+381942.5,0.08924620830295475,f,
J164414.29+314459.0,0.15153179602208913,f,
J130808.53+640023.8,0.1253354787087801,a,
J115725.05+092038.6,0.09905086039190884,f,
J111943.96+073529.0,0.10138151919364023,2,
J123838.10+453414.5,0.09252644633813284,f,
J112301.31+470308.7,0.1392775009053033,3,
J154304.11+511249.0,0.08101471322693987,2,
J112136.42+114413.5,0.08289430085806243,b,
J154624.05+431715.6,0.12924002276836682,1,
J013924.88-092404.3,0.12035639729342194,1,
J150624.23+322551.0,0.07158098162537023,b,
J111914.85+035751.3,0.1345161179990011,2,d
J015650.69+145224.2,0.15944192521677994,1,
J085547.66+004739.4,0.11942438202952227,1,
J152552.61+542218.0,0.07323099761979117,f,
J094632.03+351949.3,0.12150848432146615,d,
J164107.64+224924.8,0.0605863606489009,a,
J120314.20+044955.7,0.2257457023742104,3,
J132513.63+622345.3,0.2091303763238421,b,
J164128.36+381608.4,0.08604166493792016,2,a little
J150720.42+022328.1,0.19001029312899548,2,
J160406.98+443259.1,0.0722945727812705,b,
J120443.26+483837.4,0.13762449778667993,b,
J143232.50+340625.4,0.10968783728131838,b,
J132904.55+560353.3,0.13180115474448634,f,
J113209.24-005633.4,0.09715193340575336,f,
J215815.29+112924.9,0.10185998052005757,2,
J102523.66+645955.3,0.16546284120373747,e,
J145850.70-011914.5,0.08006264656872453,b,
J151049.53+032526.6,0.13034590523682255,b,
J073548.83+401938.3,0.12474054797812968,d,
J115028.16+044141.8,0.09360198653448916,d,
J015248.42-084320.7,0.10737857063011842,d,
J131517.27+442425.6,0.2261034785615773,4,
J102944.63+402937.8,0.10710588518417988,1,
J080318.20+314634.9,0.10989385976458876,1,
J111057.88+631849.5,0.08484049696623935,1,
J090229.39+032305.9,0.0779373418596778,c,
J111344.45+570909.5,0.07463219657461004,b,
J153048.75-013558.3,0.12176877665865145,2,
J131357.98+454216.1,0.07648023792980663,f,
J012801.39+131914.1,0.1116956894975802,f,
J130515.26+045234.3,0.3249271286245107,4,
J105120.86+012307.5,0.0979478052961028,a,
J085821.95+574105.8,0.1272445834758425,b,
J093522.45+404502.9,0.11957165790856157,a,
J100714.40+391947.6,0.10740683314881214,c,
J133625.02+562003.5,0.13562971420875214,f,
J111844.60+034207.4,0.13015103395728878,3,
J104852.92+480314.8,0.09086530096677482,1,
J112757.53-011240.2,0.17033766319101698,1,
