name,gz2class,smooth,completely_round,in_between,cigar_shaped,features_or_disks,edge_on,round_bulge_shape,boxy_bulge_shape,none_bulge_shape,bar,none_bulge_prominence,just_noticeable_bulge_prominence,obvious_bulge_prominence,dominant_bulge_prominence,spiral_structure,odd_feature,ring,lens_arc,disturbed,irregular,other,merge,dust,star
J122024.30+053422.1,Ser(u),,,,,1.0,1.0,1.0,,,,,,,,,1.0,,,,,,,1.0,
J121032.83+581814.9,Ser,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
J090058.50+474743.4,Ser,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
J151500.95+552555.3,Ei(o),1.0,,1.0,,,,,,,,,,,,,1.0,,,,,1.0,,,
J142228.74+370719.9,Ei,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
J030652.42-004740.1,SBb(r),,,,,1.0,,,,,1.0,,,1.0,,,1.0,1.0,,,,,,,
J093346.09+100909.0,Ei,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
J105103.00+654653.7,Ei,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
J093834.45+085316.4,Ec,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,
J102043.35+651019.6,Sb2t,,,,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,
J113340.51+615316.9,Sc4m,,,,,1.0,,,,,,,1.0,,,1.0,,,,,,,,,
J172801.42+573118.6,SBb2m,,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,,,
J113758.75+593701.1,Sb2t,,,,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,
J074039.29+391359.9,Ser,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
J153536.90+562742.1,Sb?t,,,,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,
J114215.29+571632.2,Ec,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,
J170757.46+605924.6,Sc,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,
J120250.68+483810.3,Sc?t,,,,,1.0,,,,,,,1.0,,,1.0,,,,,,,,,
J135837.98+372528.1,Sb1t(m),,,,,1.0,,,,,,,,1.0,,1.0,1.0,,,,,,1.0,,
