name,ra,dec,z,flux_oiii,petro_abs_mag,central
J094630.86-004554.5,146.62857,-0.76513683,0.0646826,-15.576831,-19.922863,1
J094919.08+000144.0,147.32951,0.028902695,0.0480914,-15.274555,-20.3655033,1
J094547.59-004248.2,146.44831000000002,-0.71339967,0.114683,-14.748831,-20.59799,1
J094736.30-002447.4,146.90125,-0.4131573,0.0565705,-15.347584,-19.4264717,1
J094726.32-000556.2,146.85967,-0.09893862699999999,0.125426,-15.2935,-20.4280853,1
J094658.02-003128.9,146.74174,-0.52469154,0.131474,-15.215237,-20.5491486,1
J094631.12-002756.5,146.62966,-0.46568888,0.0893659,-15.476389000000001,-20.503726999999998,1
J094529.71-002206.2,146.37378,-0.36838682,0.05326519999999999,-15.051289,-20.0629082,0
J094511.97-000712.1,146.29988,-0.12001413,0.0306548,-14.266865,-19.841245699999998,1
J094519.10-001822.4,146.32958,-0.30622363,0.0364533,-15.024065,-18.8058701,1
J094439.75-000351.0,146.16563,-0.064166288,0.0632586,-15.406873999999998,-19.7038841,0
J094358.55-000809.1,145.99396000000002,-0.13584762,0.06307019999999999,-15.600967,-19.8172607,1
J094302.34-004850.0,145.75973,-0.81389214,0.0676153,-14.029262,-20.6935959,1
J094224.29-000005.0,145.6012,-0.001388682,0.145725,-14.940398000000002,-21.4779968,1
J094134.62-003327.6,145.39427,-0.55765535,0.125894,-15.110755,-20.5967941,1
J094142.47+000258.3,145.42694,0.049536734000000006,0.0908857,-15.569725,-20.2577705,1
J094047.11-005247.9,145.1963,-0.87997986,0.11866900000000001,-15.470044,-20.324695600000002,1
J094153.11+000918.5,145.47131000000002,0.15515025,0.122281,-14.349206,-20.9246635,1
J094403.63+004924.6,146.01513,0.8235056999999999,0.12328,-15.449101,-21.0380039,0
J094310.22+003129.0,145.79259,0.52472729,0.12232699999999999,-15.223920000000001,-20.3262043,1
J094312.05+002451.0,145.80019,0.41417226,0.0251904,-15.245119,-20.119808199999998,1
J094347.47+002755.1,145.94781,0.46529716,0.030433699999999998,-15.392653,-19.7149048,1
J094621.32+001021.4,146.58882,0.17259960000000002,0.057448,-15.408153,-20.027883499999998,1
J094713.63+003956.3,146.8068,0.66563514,0.0200467,-15.152982000000002,-16.897523899999996,0
J095455.89-004540.2,148.73288,-0.76115921,0.08632360000000001,-15.442725,-21.2629623,1
J095645.90-001534.3,149.19127,-0.25953399,0.07072460000000001,-14.905741,-20.154987300000002,1
J095637.10-000656.6,149.15457,-0.11572062,0.166962,-15.398013,-21.0186424,1
J095334.69-005315.8,148.39456,-0.88771162,0.13722,-14.983293,-21.211412399999997,1
J095555.07-001125.1,148.97947,-0.19030594,0.020987099999999998,-15.535362,-18.332559600000003,1
J095549.15-000007.5,148.95481,-0.0020917873,0.124852,-15.508914,-20.451126100000003,1
J095230.04-002504.3,148.12516000000002,-0.41786911,0.051805899999999995,-15.545853,-20.278245899999998,1
J095109.08+000035.5,147.78785,0.0098501986,0.132996,-15.135791000000001,-21.1355133,1
J095136.83-001904.0,147.90346,-0.3177735,0.07937810000000001,-15.605789999999999,-20.3569012,0
J095034.97-001636.0,147.64571999999998,-0.27665868,0.0636769,-15.511873000000001,-19.1316166,1
J095025.71-004515.4,147.60714,-0.75427855,0.125769,-15.546257,-20.938179,1
J094942.79-005024.3,147.42829,-0.84007574,0.0809758,-15.173944,-20.773887600000002,1
J094944.94-002031.6,147.43725,-0.34209863,0.0952231,-15.334704,-20.243305199999998,1
J095016.28-001653.0,147.56781999999998,-0.28138654,0.125974,-15.578151,-20.3644924,1
J094818.69-005222.8,147.07786000000002,-0.87301304,0.0668841,-15.468882999999998,-20.27001,1
J094853.28-005155.6,147.22198,-0.86545331,0.0671554,-14.243995000000002,-19.0652523,1
J094929.45+001433.2,147.37271,0.24256335,0.06952749999999999,-15.652763,-20.5970497,1
J095014.77+011347.5,147.56153,1.2298604,0.0989447,-15.395482000000001,-21.006694800000002,1
J095030.54+011313.8,147.62725,1.220489,0.13047999999999998,-14.851557000000001,-21.0212421,1
J095135.01+010643.5,147.89586,1.1120728000000002,0.0205487,-14.989716,-19.6398811,1
J100131.76-001110.0,150.38232,-0.18610224,0.08758869999999999,-15.369527,-20.1962299,1
J100147.52-000940.9,150.44798,-0.16134973,0.0651905,-15.586051999999999,-19.305286399999996,1
J095910.62-005133.9,149.79426,-0.8594179,0.104583,-15.559261,-20.088169100000002,1
J100120.49-001058.4,150.33539,-0.18287734,0.0899667,-15.645844,-21.0400181,0
J095950.32-001339.0,149.95966,-0.22748983,0.09063919999999999,-13.800247,-20.5583878,0
J100035.34-000259.2,150.14725,-0.049772248,0.0916692,-15.299705,-19.6503639,0
J095947.48+000139.3,149.94785,0.027582261,0.140252,-15.210218,-20.7513466,1
J095912.29-000824.6,149.80119,-0.1401662,0.12491,-14.784216,-20.943914399999997,1
J095645.07-005916.9,149.18778999999998,-0.98802107,0.106147,-15.547335999999998,-19.9795818,1
J095749.55-001239.4,149.45645,-0.21093188,0.0330844,-15.020145999999999,-19.5442753,1
J095741.77-002117.6,149.42403000000002,-0.35489277,0.0885314,-15.544588000000001,-21.2944508,0
J095555.12-005613.5,148.97967,-0.93709546,0.0905842,-15.579819,-20.996751800000002,1
J095703.39+000108.5,149.26413,0.019038894,0.12489700000000001,-15.490314000000001,-20.934238399999998,0
J095712.02-002527.4,149.30007,-0.42428467,0.0889855,-15.126529000000001,-20.634634,0
J095714.67-001837.8,149.31112,-0.31051183,0.0886161,-15.254398000000002,-20.603712100000003,0
J095343.90-000524.6,148.43291000000002,-0.090180392,0.08339730000000001,-15.073745,-20.5795631,0
J095631.62+011500.8,149.13175,1.2502266000000002,0.06676649999999999,-15.597000000000001,-20.1915646,1
J095629.19+004232.1,149.12163999999999,0.70892345,0.09591039999999999,-15.469632,-20.8961906,1
J095651.39+001231.8,149.21414,0.20882805,0.0650878,-15.028367000000001,-21.720298800000002,1
J095633.32+003837.0,149.13884,0.64360922,0.109141,-15.299980999999999,-20.2361755,1
J095647.46+011523.9,149.19776000000002,1.2566427,0.0636381,-15.085556,-20.4906063,1
J095830.03+011055.1,149.62511,1.1819846,0.062093899999999994,-15.38896,-20.404714600000002,1
J095745.12+005141.4,149.43801000000002,0.8615036,0.0973347,-15.531104000000001,-21.8663845,1
J095849.86+000941.2,149.70775,0.16144659,0.0472869,-15.598660999999998,-19.1099262,1
J100024.37+004216.5,150.10153,0.70459403,0.0334972,-14.82244,-20.985303899999998,1
J100107.76+005111.8,150.28233,0.85327478,0.124026,-15.575135999999999,-21.9292717,1
J095948.05+004648.4,149.95019,0.78012107,0.0877467,-15.522757,-20.078859299999998,1
J100008.40+005905.3,150.03499,0.9847942,0.0318648,-13.897499,-18.9673004,1
J100121.22+000925.6,150.33843000000002,0.15710264,0.0920731,-14.817129000000001,-19.908720000000002,1
J100743.91-000820.9,151.93295,-0.13914898,0.0677953,-15.477301999999998,-20.3491421,1
J100705.58-001136.9,151.77327,-0.19357136,0.189249,-15.522132000000001,-21.7198982,1
J100323.91-000140.6,150.84964,-0.027941251,0.09313660000000001,-15.399632,-20.5140839,1
J100204.09+004115.1,150.51703,0.6875303,0.0451209,-15.58257,-19.84021,1
J100312.82+010856.1,150.80341,1.148911,0.067615,-15.136619,-19.9764729,0
J100158.82+004254.9,150.49508,0.71524319,0.06253819999999999,-15.616831,-19.8259945,1
J100414.06+001546.2,151.05858999999998,0.26283874,0.067194,-15.239138,-19.844923,1
J100356.27+004859.8,150.98446,0.81661237,0.0461425,-13.988276,-19.2438622,0
J100343.46+004216.9,150.93108999999998,0.70469435,0.0322277,-15.041635999999999,-18.4889793,1
J100448.27+004606.2,151.20111,0.76838655,0.0681815,-15.438212,-20.3082561,1
J100646.53+001724.4,151.69388,0.29010167,0.09713530000000001,-15.331579999999999,-20.459867499999998,1
J100442.39+011158.3,151.17661,1.1995308,0.0824028,-15.453370999999999,-20.3312111,0
J100734.14+001638.1,151.89223,0.27724718,0.0334305,-15.194427,-19.8793507,0
J101346.82-005451.2,153.44509,-0.91421698,0.0426417,-14.072122,-20.703268100000003,0
J101422.96-003731.2,153.59565,-0.6253347,0.086161,-15.639584,-21.529609699999998,1
J101041.10-010116.5,152.67123999999998,-1.021249,0.0444514,-15.567847,-19.5475025,1
J100757.31-005612.3,151.98881,-0.93674695,0.155013,-15.531165,-20.936615,1
J100831.99-004000.8,152.13329,-0.66688733,0.0215146,-15.153314000000002,-20.086628,1
J100935.71+011145.2,152.39879,1.195886,0.185995,-15.501639,-21.6238365,1
J101112.05+004926.9,152.8002,0.8241363000000002,0.12707000000000002,-15.179345000000001,-20.383249300000003,1
J101415.96+000430.3,153.56648,0.075081345,0.10313800000000001,-15.499095,-20.1274509,1
