name,gz2class,smooth,completely_round,in_between,cigar_shaped,features_or_disks,edge_on,round_bulge_shape,boxy_bulge_shape,none_bulge_shape,bar,none_bulge_prominence,just_noticeable_bulge_prominence,obvious_bulge_prominence,dominant_bulge_prominence,spiral_structure,odd_feature,ring,lens_arc,disturbed,irregular,other,merge,dust,star
J121808.09+060822.3,SBb2m,,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,,,
J133524.55+012438.0,SBb+m,,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,,,
J115912.88-003125.7,Sa(r),,,,,1.0,,,,,,,,,1.0,,1.0,1.0,,,,,,,
J075953.81+331725.9,SBc3m,,,,,1.0,,,,,1.0,,1.0,,,1.0,,,,,,,,,
J133305.34-010208.9,Sb2m(r),,,,,1.0,,,,,,,,1.0,,1.0,1.0,1.0,,,,,,,
J085449.19+574012.6,Sc,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,
J100213.84+114120.5,Ser,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
J111353.24+044806.2,Er,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
J120403.36+551217.8,Ei,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
J085618.72-002629.4,Ec,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,
J122402.02+582306.7,Er,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
J090847.60+373005.8,Sc2l(m),,,,,1.0,,,,,,,1.0,,,1.0,1.0,,,,,,1.0,,
J101848.60+382810.8,Sc2m,,,,,1.0,,,,,,,1.0,,,1.0,,,,,,,,,
J110338.43+451047.9,Sb2t(r),,,,,1.0,,,,,,,,1.0,,1.0,1.0,1.0,,,,,,,
J101359.19+383925.9,Ei,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
J135314.12+002650.2,Ei,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
J092639.80+455049.9,Ei,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
J113252.56+433053.9,SBc2m,,,,,1.0,,,,,1.0,,1.0,,,1.0,,,,,,,,,
J100356.91+013044.5,Er,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
J132056.15+013013.2,Sb2m,,,,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,
J151148.38+461513.9,Sc,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,
J101609.46+393235.0,Sb(r),,,,,1.0,,,,,,,,1.0,,,1.0,1.0,,,,,,,
J101501.56+393948.7,SBb2l,,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,,,
J133751.11+051504.2,Ei(m),1.0,,1.0,,,,,,,,,,,,,1.0,,,,,,1.0,,
J031654.91-000231.1,Ei,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
J094112.94+610340.7,Sc2t,,,,,1.0,,,,,,,1.0,,,1.0,,,,,,,,,
J121808.09+060822.3,SBb2m,,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,,,
J150913.16+523142.4,Sc2t,,,,,1.0,,,,,,,1.0,,,1.0,,,,,,,,,
J113209.24-005633.4,Ei,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
J153838.50+365730.1,Sb(r),,,,,1.0,,,,,,,,1.0,,,1.0,1.0,,,,,,,
J073327.72+415308.8,Ei,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
J095555.07-001125.1,Ser,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
J085038.82+301031.2,Ser,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
J080757.18+341338.4,Er,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
J094636.06+081034.8,Er,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
J101226.95+571445.8,Er,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
J110338.36-005208.4,Ei,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
J090232.73+423819.7,Er,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
J120403.36+551217.8,Ei,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
