name,ra,dec,z,lum_oiii,petro_abs_mag,central,gz2id
J083732.70+284218.7,129.38627,28.705196,0.011585,39.545662,-20.2363625,1,201
J094529.37+093610.4,146.37237,9.602897,0.013277,40.225188,-18.5349236,1,7973
J145706.80+494008.5,224.27833,49.669019,0.013399,39.383223604741374,-20.06917,0,655
J122342.81+581446.1,185.92837,58.246151,0.014527000000000003,39.93419711611968,-17.8375931,0,29372
J155252.84+403848.2,238.22016,40.646728,0.015107,39.688551000000004,-19.9193516,1,1198
J095033.16+441851.8,147.63815,44.314381,0.015319,39.65080305025902,-19.5080795,0,3096
J080538.66+261005.5,121.4111,26.16819,0.016953,39.859900999999994,-20.11273,1,1238
J110233.29-001727.6,165.6387,-0.29101,0.017294,38.577422999999996,-18.3670673,1,23342
J011059.31+002601.1,17.747137,0.433651,0.018843,39.542947,-18.4437103,1,24555
J120114.35-034041.0,180.3098,-3.678067,0.019549,40.825358,-19.6012993,1,5878
J112536.17+542257.2,171.40069,54.382555,0.020642,40.493327,-18.783144,1,19869
J120257.82+045045.1,180.7409,4.84585,0.020675,39.634736,-20.4412098,1,1516
J111607.65+412353.2,169.03189,41.398105,0.020843,39.571875,-19.529272100000004,1,7650
J114530.26+094344.8,176.37607,9.7291,0.021371,39.17394899999999,-19.571867,1,8035
J132428.24+044629.6,201.11768,4.774889,0.02143,39.576382,-18.6914368,1,28854
J082510.23+375919.8,126.29263,37.98882,0.021431,40.416422999999995,-19.3207531,1,10149
J093812.26+074340.1,144.5511,7.727792,0.021895,40.055330999999995,-19.6414452,1,7850
J133815.87+043233.3,204.56613,4.542593,0.022975,40.967855,-21.3850384,1,482
J100207.04+030327.7,150.52933000000004,3.057686,0.023176,40.305552,-20.2064686,1,3389
J121754.98+583935.7,184.47907,58.659912,0.023253,40.328483,-19.3884335,1,12863
J080740.99+390015.3,121.92081,39.004246,0.023496,40.627671,-20.405756,1,3098
J122324.14+024044.4,185.85057,2.679011,0.023579,40.240788,-19.7458973,1,8965
J130620.97+531823.2,196.58738,53.30644399999999,0.023679,39.094529,-19.2371902,1,18184
J134632.13+642325.2,206.63389,64.390328,0.024094,40.749889,-19.0778065,1,20896
J115341.78+461242.3,178.42407,46.211737,0.024415,40.171594,-19.8754292,1,6671
J140040.57-015518.3,210.16903,-1.921744,0.024997,41.032434,-19.1230907,1,25825
J092438.89+560747.0,141.16204,56.12971999999999,0.025041,40.04399,-20.2886467,1,3735
J164721.48+444209.8,251.83948,44.702717,0.025651,39.155291000000005,-19.0393524,1,29661
J112637.74+513423.0,171.65725,51.573064,0.026443,39.802217,-19.1506729,1,25640
J080020.99+263648.7,120.08744,26.613535,0.026773,40.883203,-21.3214798,1,1012
J133248.70+415218.6,203.20292,41.871832,0.027065,39.752814,-21.1194687,1,1401
J140718.29+125314.0,211.82619,12.887215,0.027368,39.52268,-20.056778,1,8771
J161630.68+354228.9,244.12782,35.708015,0.027742000000000003,40.40471169601295,-21.0961266,0,1590
J111857.69+580323.6,169.74036999999996,58.05655400000001,0.027872000000000004,40.348856,-19.5994205,1,18438
J143450.63+033842.6,218.71095,3.645163,0.028165,39.588129179600614,-19.7670212,0,13439
J171518.57+573931.6,258.82738,57.65878299999999,0.028177,40.148506947369754,-19.9075394,0,11915
J162012.76+400906.2,245.05315,40.15172000000001,0.028476,40.03786699999999,-19.8903732,1,13306
J114107.56-024910.9,175.28149,-2.819687,0.028737,39.525960999999995,-19.7947769,1,13043
J173809.30+584253.7,264.53876,58.714904,0.028761,39.606701,-20.3887768,1,5130
J111349.74+093510.7,168.45725,9.586292,0.028969,40.683095,-21.3726501,1,1337
J142704.55+355409.6,216.76896,35.902656,0.029031,39.874992000000006,-19.7793655,1,15486
J111254.48+093050.4,168.22701,9.513991,0.029075,38.92633572386175,-19.3986225,0,27719
J173159.22+595818.0,262.99673,59.971676,0.029196,39.72002038948055,-19.5543156,0,22046
J130615.17+585733.2,196.5632,58.959224,0.029208,39.770385000000005,-18.3587399,1,120641
J112408.65-010927.9,171.03603,-1.1577620000000002,0.029288,40.872813,-20.4054089,1,6564
J131305.81+012755.9,198.2742,1.465541,0.029361,39.935022,-19.6678009,1,19586
J231815.67+001540.2,349.56529,0.261179,0.029773,40.017390999999996,-20.6928482,1,3805
J144331.27+492335.2,220.88029,49.393125,0.030161,39.368887,-20.5921707,1,5336
J123651.18+453904.2,189.21325,45.651162,0.030419,40.586452,-20.6821289,1,4335
J121607.09+504930.1,184.02955,50.825021,0.030808,41.25773930512772,-20.3186016,0,8726
J030834.31+003303.3,47.142961,0.550924,0.030824,39.588200568641525,-19.9662743,0,14637
J155909.63+350147.5,239.79012000000003,35.029857,0.031003,40.563345,-21.0772667,1,3024
J074507.25+460420.7,116.28022,46.07242,0.031301,39.751846,-21.0928268,1,2807
J232124.79-005908.4,350.3533,-0.985654,0.031427,39.125415965521995,-20.2385082,0,9027
J110016.03+461615.2,165.0668,46.270893,0.031777,40.475260999999996,-18.7352695,1,76373
J230920.26+004523.5,347.33443,0.7565149999999999,0.032279,40.189198,-21.1443768,1,2713
J161927.81+395832.3,244.86588,39.975635,0.032389999999999995,39.202251000000004,-19.8351669,1,17885
J154744.15+412408.3,236.93394,41.4023,0.032609,40.948244,-20.294466,1,10918
J134952.84+020445.1,207.47018,2.079195,0.032847,41.294714,-20.0649109,1,15211
J164045.62+431656.8,250.19009,43.282449,0.033152999999999995,39.692964,-19.270031,1,54591
J112628.73+472453.8,171.61972,47.414958,0.03333,40.067702,-18.564539,1,126389
J075525.29+391109.9,118.85539,39.186094,0.033513,40.732576,-20.8040524,1,5822
J162345.89+410456.4,245.94119,41.082333,0.033522,41.292815000000004,-19.8228016,1,22364
J110501.98+594103.6,166.25823,59.68434300000001,0.033762,40.64916500000001,-20.5280991,1,7632
J011448.68-002946.1,18.702821,-0.496134,0.033828,40.290904,-21.1377888,1,3005
J164107.64+224924.8,250.28183,22.823568,0.033871,40.622034,-19.4346218,1,42840
J112255.74+523825.3,170.73223000000004,52.640361,0.033901,40.142823,-19.9571152,1,19729
J161809.38+361957.8,244.53907,36.332728,0.033977,40.22481599999999,-19.2887096,1,51011
J162636.40+350242.1,246.65167,35.045019,0.034012,39.575733,-19.8308716,1,22205
J110157.90+101739.3,165.49125,10.29424,0.034036000000000004,41.40636109542967,-19.2686214,0,54297
J140018.43+050242.2,210.07678,5.045069,0.034201,41.520667,-20.8446312,1,5004
J120704.75+090647.9,181.76979,9.113311,0.034427,39.736532999999994,-20.3408813,1,10450
J215512.42+005906.5,328.8017700000001,0.985141,0.035011,39.621517,-19.8528862,1,25546
J165124.40+243121.4,252.85166,24.522616,0.035181,39.645833,-18.7900276,1,114406
J092512.85+521710.3,141.30355,52.286206,0.035264,41.607933,-20.0984058,1,20147
J130737.68+433117.7,196.90702,43.521587,0.035371,39.98063289114597,-19.8727341,0,25996
J095955.85+130237.8,149.98271,13.043827,0.035463,40.582947999999995,-21.302969,1,3893
J233837.10-002810.4,354.6546,-0.469552,0.035554,40.59523247860433,-19.1022568,0,81895
J110101.78+110248.9,165.25742,11.046922,0.035573,40.975708700378014,-20.164978,0,17583
J104439.16+384534.4,161.16317,38.759552,0.035626,40.607035730152425,-21.1893044,0,3338
J140941.70+372905.0,212.42374,37.484734,0.035705,39.619009999999996,-19.0055218,1,88594
J150556.56+034226.3,226.48565,3.707308,0.035882,41.67341780129341,-21.6456375,0,1900
J034547.98-000025.6,56.449928,-0.007117,0.035929,40.504585,-19.7962112,1,30461
J143452.46+483942.8,218.71857000000003,48.661878,0.036489,40.958376,-20.8552456,1,7593
J150511.42-020831.0,226.2976,-2.141952,0.037129,39.363887,-20.2374916,1,15862
J090436.95+553602.7,136.15396,55.600761,0.037142,40.784199,-19.4911289,1,52867
J154814.76+450027.7,237.0615,45.007702,0.037268,39.937220607436686,-18.7149277,0,130643
J163348.87+355318.5,248.45363,35.888477,0.037511,40.343021,-20.3201694,1,14731
J151343.32+042143.7,228.43049,4.362133999999998,0.037765,39.71904576667808,-20.2652111,0,16289
J161951.31+405847.2,244.9638,40.979787,0.037858,40.55124127531893,-20.3810883,0,13740
J111117.96+113315.8,167.82484,11.554388,0.038069,39.856202,-21.296400100000003,1,4160
J163453.67+231242.7,248.72362,23.211848,0.038606,40.748709999999996,-20.777647,1,8255
J145901.36+611353.6,224.75565,61.231554,0.038767,40.262427,-20.7374706,1,10171
J092115.56+101741.1,140.31485,10.294746,0.039262,40.403763,-20.9432201,1,8007
J093551.59+612111.5,143.96497,61.353203,0.03933,40.00530900000001,-21.1503639,1,6164
J083949.65+484701.5,129.95687,48.783748,0.039351,40.985786,-20.3416882,1,18837
J110032.52+020657.8,165.13548,2.116069,0.03946,39.94825760350874,-21.3131485,0,3868
J113355.94+670107.1,173.48307,67.018642,0.039719,39.544105,-20.7125587,1,9587
J105833.33+461604.8,164.63888,46.268011,0.039899,40.768146,-21.2335644,1,4481
J081252.47+383823.9,123.21864,38.639966,0.040241000000000006,40.285777,-19.2470798,1,80423
J082449.95+293644.2,126.20811,29.612269,0.040449,39.740387,-18.6245441,1,223944
J134210.11+564210.3,205.54213,56.702854,0.040575,40.603168,-19.3196087,1,77906
J032235.86-010307.7,50.649406,-1.05215,0.040889,40.290063,-20.1614399,1,28090
J161156.32+521116.9,242.98465,52.188021,0.040981,40.552074,-20.0134525,1,34314
J095437.23+063719.5,148.65513,6.622091,0.041042,40.123404,-20.9499702,1,8749
J213741.45+005317.0,324.42269,0.888056,0.041052,39.813621999999995,-20.5146008,1,14931
