name,ra,dec,z,lum_oiii,petro_abs_mag,central,gz2id,gz2class,sep2d
J122024.30+053422.1,185.10123,5.5728165,0.00309888,37.18998160474672,-20.5456524,1,1599,Ser(u),0.018359999997598044
J121032.83+581814.9,182.63681,58.304138,0.0102723,38.059056210895534,-19.4271317,1,639,Ser,0.11439853425501519
J090058.50+474743.4,135.24376999999998,47.795379,0.0104842,38.29213070972033,-18.313942,1,4928,Ser,0.03239999999070989
J151500.95+552555.3,228.75397,55.43202,0.0106121,38.56102261696775,-17.790460600000007,0,11098,Ei(o),0.06497295147142176
J142228.74+370719.9,215.61974,37.122197,0.0106426,38.93606763784835,-19.352026,1,922,Ei,0.010799999996903252
J030652.42-004740.1,46.718407,-0.79446982,0.010748,38.897595306936665,-20.3337307,1,137,SBb(r),0.10612261411452531
J093346.09+100909.0,143.44205,10.152503,0.0107906,39.14606818234894,-20.4418583,1,89,Ei,0.07169079077572234
J105103.00+654653.7,162.76248,65.781576,0.0108056,38.982550727859554,-19.1389542,0,1451,Ei,0.0726673867226763
J093834.45+085316.4,144.64356,8.8878996,0.0108201,38.55677699644111,-18.723226500000006,1,2950,Ec,0.08813553753252251
J102043.35+651019.6,155.18061,65.172115,0.010996,38.63379082659999,-19.3330765,1,937,Sb2t,0.17291612892049685
J113340.51+615316.9,173.41881,61.88803299999999,0.011084,38.47738811620504,-19.6615868,1,504,Sc4m,0.12069004855751263
J172801.42+573118.6,262.0059,57.521827,0.011187700000000002,38.53932792165445,-19.5830517,1,743,SBb2m,0.09725759849768836
J113758.75+593701.1,174.49481,59.616962,0.0111881,38.75088829804285,-19.7306271,1,438,Sb2t,0.12102806042718513
J074039.29+391359.9,115.16371,39.233311,0.0111934,38.68004592822245,-20.144228,1,237,Ser,0.12553377202472055
J153536.90+562742.1,233.90376,56.46170400000001,0.0112595,38.782005903424235,-19.083725,0,1836,Sb?t,0.05418269075967242
J114215.29+571632.2,175.56368999999995,57.275622,0.0113103,38.33800910812171,-18.0416374,1,9970,Ec,0.042883631352367356
J170757.46+605924.6,256.98943,60.990159,0.0113855,38.24592787155516,-19.7860279,1,419,Sc,0.12226289259694359
J120250.68+483810.3,180.71116,48.636205,0.011482,38.36561705858033,-20.5140953,1,100,Sc?t,0.05087127700099148
J135837.98+372528.1,209.65826,37.424476,0.011643,38.61890600297861,-20.5879555,1,84,Sb1t(m),0.04058083504839936
J150913.16+523142.4,227.30484,52.528439,0.0117039,39.58522839749108,-20.12253,1,223,Sc2t,0.0575999999987514
J083356.66+265821.6,128.48606999999998,26.972662,0.011818,38.28939719108471,-18.8172703,1,3627,Sb?t,0.014399999999687677
J150756.60+523120.9,226.98582,52.522483,0.0119026,38.938461425831846,-19.0018787,0,2707,Ei,0.022198064607790034
J113228.10+623026.3,173.11709,62.50731,0.0121515,38.57105269872805,-19.5892925,1,882,SBb,0.03965081496310611
J092457.41+113229.5,141.23918999999995,11.541526,0.0121655,38.07348937118621,-18.2121296,1,8129,SBc2m,0.03545531731202295
J133305.34-010208.9,203.27226,-1.035819,0.0123821,38.99226172483583,-20.2980785,1,278,Sb2m(r),0.06579804612349413
J133826.08-001339.4,204.60866,-0.22762131,0.0123874,38.65098190984162,-19.514307,1,1262,Sb?t,0.11014505162755107
J121758.12+071109.3,184.49216,7.1859142999999985,0.0124324,38.0558559303331,-19.816719100000004,1,510,Sc2t,0.006120000000153508
J085949.05+050339.1,134.95436999999998,5.0608525,0.0125192,39.29758023472236,-18.6933746,1,4254,SBc2t(r),0.0373484745884238
J155902.97+511816.8,239.76238,51.30467700000001,0.012582,37.93382954403175,-19.1943569,1,1695,Sen,0.11092193574461784
J085658.00+520357.5,134.24165,52.065963,0.0126264,38.825243380388066,-20.1367397,1,463,SBb2l,0.14079271278406646
J205527.62-011330.9,313.86509,-1.2252449,0.0126667,38.35813660672452,-19.8834934,1,435,SBb?t,0.03613730813245781
J085837.31+515242.6,134.65545,51.878488,0.012736399999999998,39.321389469874724,-18.7921181,1,4673,Sb2l,0.11922168166140364
J171841.10+603629.2,259.67126,60.60811800000001,0.0127376,38.018326046785674,-20.348196,1,287,Sen,0.21942307114607373
J085618.72-002629.4,134.07802,-0.44150027,0.0127967,39.15476627578899,-18.5954952,1,6521,Ec,0.016704000000339017
J205324.63+003907.1,313.35261,0.65196087,0.0128295,38.52191485267355,-18.6368847,1,6241,Ser,0.03606679962792508
J131126.35-001459.0,197.85979,-0.24973076,0.012844299999999998,38.69090830404507,-19.3394547,1,1605,Sc?t,0.036386544820081836
J110925.31-000551.8,167.35544,-0.097731256,0.0128582,38.49665523980897,-19.304012300000004,1,1998,Sc?t,0.13623218816617766
J084225.77+371315.7,130.60736,37.221036,0.0129031,39.11137522786206,-20.0629444,1,506,Sb?m,0.01439999998823768
J121758.08+071626.2,184.492,7.2739508000000015,0.0130548,38.61516810578949,-19.5517464,1,1450,Sb,0.0028800000010825344
J084537.85+365604.8,131.40771999999998,36.934653,0.0131455,38.71374902048638,-19.7583065,1,1023,Er(r),0.03073554023673974
J143239.84+361808.0,218.16599,36.302229,0.0131906,39.296207948756894,-20.4777412,1,260,Ser(i),0.029235086985850874
J091302.23+493822.2,138.25928000000002,49.6395,0.0132471,38.242998994375995,-19.6018391,1,1164,Sc2t,0.10780492408522
J100045.21+044403.6,150.18837,4.7343227,0.013269899999999998,38.91240171400774,-20.4559669,1,2178,Ei,0.07181211868917313
J133011.49-013947.3,202.54787,-1.6631296000000002,0.0133346,38.895839124484056,-20.4677124,1,208,Sb+m,0.03656362582165978
J085446.30+393219.8,133.69293000000002,39.538826,0.0134688,39.0920018109211,-19.9544544,1,750,Sb?t,0.10777569365718617
