name1,spec1,ra1,dec1,z1,logl1_5007,galaxyid1,objid1,group1,mrpetro1,mrmodel1,bg1,mg1,name2,spec2,ra2,dec2,z2,logl2_5007,galaxyid2,objid2,groupid2,mrpetro2,mrmodel2,bg2,mg2
J083732.70+284218.7,52933-1268-143,129.38627,28.705196,0.011585,39.545662,267733,1096348,239516,-20.236362,-20.487301000000002,1,1,J231221.42+143633.8,52262-0743-591,348.08923,14.609380999999999,0.0162342,39.711397,159708,717734,6692,-20.456388,-20.519243,1,1
J083732.70+284218.7,52933-1268-143,129.38627,28.705196,0.011585,39.545662,267733,1096348,239516,-20.236362,-20.487301000000002,1,1,J130850.11-004902.3,51986-0294-055,197.2088,-0.81730439,0.0179684,39.366144,1952,41455,6108,-20.524424,-20.543715,1,1
J083732.70+284218.7,52933-1268-143,129.38627,28.705196,0.011585,39.545662,267733,1096348,239516,-20.236362,-20.487301000000002,1,1,J034240.10-062254.6,51909-0462-517,55.667104,-6.3818355,0.0211967,39.348813,18695,157552,80452,-20.626967,-20.557154,1,1
J083732.70+284218.7,52933-1268-143,129.38627,28.705196,0.011585,39.545662,267733,1096348,239516,-20.236362,-20.487301000000002,1,1,J120003.17+081054.2,53089-1623-334,180.0132,8.1817218,0.0204227,39.322514,220042,933262,38900,-20.662798000000002,-20.446552,1,1
J083732.70+284218.7,52933-1268-143,129.38627,28.705196,0.011585,39.545662,267733,1096348,239516,-20.236362,-20.487301000000002,1,1,J033733.38-063113.6,51910-0461-625,54.389098,-6.5204569,0.0179105,39.30766,73687,330294,8544,-20.607666000000002,-20.583292,1,1
J033013.26-053236.1,51910-0461-361,52.555265000000006,-5.54335,0.013147,39.136555,19263,160951,24988,-20.153591,-20.156681,1,1,J010709.16-003718.1,51816-0396-075,16.788159,-0.62170676,0.0177396,39.13275,525607,2093449,60320,-20.131132,-20.066944,1,1
J033013.26-053236.1,51910-0461-361,52.555265000000006,-5.54335,0.013147,39.136555,19263,160951,24988,-20.153591,-20.156681,1,1,J100811.56+422507.2,52709-1218-268,152.04818,42.41868,0.0231346,39.140683,260054,1066118,234370,-20.226841,-20.146637,1,1
J033013.26-053236.1,51910-0461-361,52.555265000000006,-5.54335,0.013147,39.136555,19263,160951,24988,-20.153591,-20.156681,1,1,J231644.67+132858.8,52251-0744-058,349.18613999999997,13.483007999999998,0.0157717,39.276983,78186,346362,29038,-20.469168,-20.188988000000002,1,1
J033013.26-053236.1,51910-0461-361,52.555265000000006,-5.54335,0.013147,39.136555,19263,160951,24988,-20.153591,-20.156681,1,1,J133305.34-010208.9,51955-0298-204,203.27226000000002,-1.035819,0.0123821,38.992228999999995,8267,61421,8473,-20.298078,-20.163339999999998,1,1
J033013.26-053236.1,51910-0461-361,52.555265000000006,-5.54335,0.013147,39.136555,19263,160951,24988,-20.153591,-20.156681,1,1,J135429.16+541950.4,52797-1323-202,208.6215,54.330661,0.0153381,38.982805,298503,1197830,259117,-20.347094,-20.196106,1,1
J094529.37+093610.4,52757-1305-179,146.37237,9.602897,0.013277,40.225188,262919,1072977,236186,-18.534924,-18.482443,1,1,J100213.84+114120.5,53055-1744-083,150.55768,11.689017,0.0219842,39.338633,273220,1123963,17440,-18.570663,-18.417704,1,1
J094529.37+093610.4,52757-1305-179,146.37237,9.602897,0.013277,40.225188,262919,1072977,236186,-18.534924,-18.482443,1,1,J111353.24+044806.2,52326-0835-479,168.47183,4.801718,0.0205503,39.243469,128395,524458,30962,-18.595941,-18.571228,1,1
J094529.37+093610.4,52757-1305-179,146.37237,9.602897,0.013277,40.225188,262919,1072977,236186,-18.534924,-18.482443,1,1,J085618.72-002629.4,51912-0468-014,134.07802,-0.44150027,0.0127967,39.154745,8592,63580,73822,-18.595495,-18.579842000000003,1,1
