  NAME                  SPEC             RA          DEC          Z          LOGF_5007   col1     col2      col3            col4            col5        col6         col7         col8        col9          col10       col11         col12       col13   Separation
  J083732.70+284218.7   52933-1268-143   129.38627   28.705196    0.011585   -13.93      267733   1096348   129.38628317    28.705190362    0.0115738   12.4142895   17.7200012   0.9791667   -20.2363625   0.7551526   -20.4873009   0.8344316   1       0.04627405456854207   
  J033013.26-053236.1   51910-0461-361   52.555265   -5.54335     0.013147   -14.45      19263    160951    52.55527157     -5.543320654    0.0133647   12.8971329   17.6200008   0.8644986   -20.1535912   0.7541023   -20.1566811   0.757816    1       0.1082367304656792    
  J094529.37+093610.4   52757-1305-179   146.37237   9.602897     0.013277   -13.37      262919   1072977   146.37238085    9.60288987      0.0131723   14.5223522   17.7200012   0.8465347   -18.5349236   0.7642755   -18.4824429   0.7149515   1       0.046282528648788165  
  J145706.80+494008.5   52767-1329-222   224.27833   49.669019    0.013399   -14.22      298636   1198089   224.278316922   49.669023621    0.0135112   13.0363522   17.7200012   0.8738462   -20.06917     0.5921938   -19.9684658   0.6467344   1       0.034716166778022195  
  J122342.81+581446.1   52791-1315-568   185.92837   58.246151    0.014527   -13.74      184971   838797    185.928438907   58.246228286    0.014366    15.4249134   17.7200012   0.9855072   -17.8375931   0.7017065   -17.8263378   0.730229    1       0.30733508363305184   
  J155252.84+403848.2   52516-1054-376   238.22016   40.646728    0.015107   -14.02      236935   981190    238.220195363   40.646709943    0.0152647   13.3467236   17.7200012   0.8571429   -19.9193516   0.714909    -19.9541874   0.7947449   1       0.11642958281080289   
  J095033.16+441851.8   52709-0941-529   147.63815   44.314381    0.015319   -14.07      206997   900644    147.638144241   44.314371476    0.0157672   13.9226475   17.7200012   0.9506173   -19.5080795   1.1070497   -19.302206    1.0233247   1       0.03735795072858521   
  J080538.66+261005.5   52670-1205-497   121.4111    26.16819     0.016953   -13.95      252287   1036353   121.411092527   26.168190144    0.0170532   13.3712473   17.7200012   0.8660436   -20.11273     0.6024361   -20.6322308   0.6851636   1       0.0241509175296941    
  J110233.29-001727.6   51908-0277-180   165.6387    -0.29101     0.017294   -15.25      112839   477624    165.638716363   -0.291013038    0.0172412   15.2755728   17.6000004   0.8776978   -18.3670673   0.8197278   -18.2312355   0.8375386   1       0.05991272947865679   
  J033458.00-054853.3   51910-0461-618   53.74168    -5.814796    0.018324   -14.88      19107    159979    53.741689012    -5.814784801    0.018286    15.545742    17.6200008   0.8644986   -18.2286224   0.696229    -18.3178005   0.7520323   1       0.05164464619410038   
  J011059.31+002601.1   51794-0397-474   17.747137   0.433651     0.018843   -14.36      428296   1765716   17.747143213    0.433628421     0.0188186   15.3045807   17.6200008   1.0         -18.4437103   0.6490627   -18.3836632   0.6505695   1       0.08430538992388012   
  J120114.35-034041.0   52368-0331-121   180.3098    -3.678067    0.019549   -13.11      22153    171500    180.309819736   -3.678085636    0.0194803   14.3211184   17.5700016   0.8877193   -19.6012993   0.524785    -19.5753727   0.4740495   1       0.09761293956053876   
  J112536.17+542257.2   52707-1014-302   171.40069   54.382555    0.020642   -13.49      232941   964147    171.40066904    54.382640872    0.0206863   15.1840773   17.7200012   0.9906542   -18.783144    0.8428422   -18.822298    0.8910599   1       0.31224679163710795   
  J120257.82+045045.1   52376-0842-436   180.7409    4.84585      0.020675   -14.35      105865   458704    180.740860136   4.845853311     0.0207844   13.4594316   17.7200012   0.9751037   -20.4412098   0.710584    -20.4955463   0.8365605   1       0.143493354282831     
  J111607.65+412353.2   53003-1439-597   169.03189   41.398105    0.020843   -14.42      334642   1275665   169.031885414   41.398105514    0.0209481   14.4995127   17.7200012   0.9787234   -19.5292721   0.823089    -19.5408745   0.9393018   1       0.012521869461835887  
  J114530.26+094344.8   52734-1226-199   176.37607   9.7291       0.021371   -14.84      257222   1059845   176.376079039   9.729103052     0.0213799   14.524828    17.7200012   0.9131403   -19.571867    0.8705154   -19.4942036   0.9439712   1       0.03390217050663893   
  J132428.24+044629.6   52375-0852-394   201.11768   4.774889     0.02143    -14.44      115655   488827    201.117703433   4.774894543     0.0213315   15.4094324   17.7200012   0.9826087   -18.6914368   0.8021967   -18.7389698   0.8485072   1       0.08640191522841657   
  J082510.23+375919.8   52589-0893-628   126.29263   37.98882     0.021431   -13.60      170789   780593    126.292640531   37.988820041    0.0213654   14.6754713   17.7200012   0.8670213   -19.3207531   0.8494636   -19.2901573   0.8896057   1       0.029879666905090935  
  J093812.26+074340.1   52733-1196-639   144.5511    7.727792     0.021895   -13.98      223907   942910    144.551097125   7.727758485     0.0219639   14.5135117   17.7200012   0.8828125   -19.6414452   0.9092624   -19.6317863   0.91203     1       0.12108911306475725   
  J133815.87+043233.3   52374-0853-111   204.56613   4.542593     0.022975   -13.11      455252   1864780   204.566131433   4.542597403     0.0229418   12.8570986   17.7200012   0.9040591   -21.3850384   0.9130605   -21.3473721   0.9335359   1       0.016664157441884972  
  J100207.04+030327.7   52235-0501-366   150.52933   3.057686     0.023176   -13.78      99868    444008    150.529317283   3.057687519     0.0233518   14.0859404   17.7200012   0.9444444   -20.2064686   0.7845955   -20.1454048   0.8065777   1       0.0460419173118632    
  J121754.98+583935.7   52791-1315-403   184.47907   58.659912    0.023253   -13.76      227784   952235    184.479034889   58.659972266    0.0231083   14.8855619   17.7200012   0.9130435   -19.3884335   0.5860851   -19.3082447   0.5719898   1       0.2266995295530766    
  J080740.99+390015.3   52254-0759-295   121.92081   39.004246    0.023496   -13.47      85943    370121    121.920801987   39.004241911    0.0233453   13.8962364   17.7200012   0.9551282   -20.405756    0.6342975   -20.2523956   0.6140949   1       0.026817986743745113  
  J122324.14+024044.4   52283-0519-487   185.85057   2.679011     0.023579   -13.86      59940    285900    185.850580711   2.679011946     0.023863    14.5991573   17.7200012   0.8654546   -19.7458973   0.7598869   -19.7971153   0.7756473   1       0.03866772022510947   
  J130620.97+531823.2   52707-1039-044   196.58738   53.306444    0.023679   -15.01      231434   960883    196.587401058   53.306522329    0.0236678   15.086319    17.7200012   0.8598726   -19.2371902   0.8402473   -19.2570572   0.8700802   1       0.28559962173409165   
  J134632.13+642325.2   52079-0604-536   206.63389   64.390328    0.024094   -13.37      109012   466151    206.633915336   64.390360272    0.024178    15.179636    17.7200012   0.9004329   -19.0778065   0.5534972   -19.1621857   0.5630549   1       0.12268608894689036   
  J115341.78+461242.3   53080-1446-129   178.42407   46.211737    0.024415   -13.96      286138   1167930   178.42406732    46.211726207    0.0242513   14.4077139   17.7200012   0.9         -19.8754292   0.6321031   -19.6996574   0.6589566   1       0.03942422375711789   
  J140040.57-015518.3   52443-0915-437   210.16903   -1.921744    0.024997   -13.12      149061   577243    210.16903152    -1.921748877    0.0250486   15.3306828   17.7200012   0.8774704   -19.1230907   0.4807045   -19.1377773   0.4481518   1       0.018389246439494994  
  J092438.89+560747.0   51908-0451-145   141.16204   56.12972     0.025041   -14.11      27053    191950    141.161990291   56.129797743    0.0250156   14.0099945   17.6200008   0.884393    -20.2886467   0.8720977   -20.4842186   0.9425247   1       0.29711362864041474   
  J164721.48+444209.8   52051-0629-584   251.83948   44.702717    0.025651   -15.02      121194   506905    251.83945153    44.702754638    0.0254041   15.434164    17.7200012   0.9027778   -19.0393524   0.7847918   -19.2146854   0.8176096   1       0.15383818539552774   
  J112637.74+513423.0   52365-0879-200   171.65725   51.573064    0.026443   -14.40      197714   871294    171.65729829    51.573128058    0.0264158   15.3276997   17.7200012   0.8509317   -19.1506729   0.7236208   -19.3223076   0.7923731   1       0.2546655149465354    
  J080020.99+263648.7   52581-0929-142   120.08744   26.613535    0.026773   -13.33      200464   878644    120.08745198    26.613527484    0.0267379   13.2761698   17.7200012   0.8508772   -21.3214798   0.7713177   -21.2407742   0.8174832   1       0.047104918577349865  
  J133248.70+415218.6   53091-1464-417   203.20292   41.871832    0.027065   -14.47      346383   1299661   203.202978408   41.871821066    0.0272769   13.4439173   17.7200012   0.8914729   -21.1194687   0.5321947   -21.1277504   0.6883532   1       0.16144652605308632   
  J114343.76+550019.3   52734-1015-596   175.93235   55.005366    0.027067   -14.63      177677   819984    175.932380967   55.005411241    0.0271709   17.1297359   17.7200012   0.9731544   -17.4601498   0.3629531   -17.4495602   0.3833255   1       0.1749670331537688    
  J004042.10-110957.6   52162-0655-089   10.175425   -11.166005   0.027287   -15.26      69839    319604    10.1754271      -11.166053134   0.0273784   16.8127556   17.7200012   0.852       -17.7432766   0.7628644   -17.8881798   0.7958654   1       0.1734410574585423    
  J140718.29+125314.0   53178-1704-104   211.82619   12.887215    0.027368   -14.71      399753   1427044   211.82618689    12.887213724    0.0273127   14.5860901   17.7200012   0.8826979   -20.056778    0.8598636   -20.0541515   0.8917583   1       0.011841292337030865  
  J161630.68+354228.9   52764-1056-088   244.12782   35.708015    0.027742   -13.84      495191   1958380   244.127842971   35.708025972    0.0278939   13.491931    17.7200012   0.9375      -21.0961266   0.6575034   -21.0768223   0.847277    1       0.07790489173049077   
  J111857.69+580323.6   52398-0951-129   169.74037   58.056554    0.027872   -13.90      212735   916632    169.740373888   58.056641338    0.0278385   15.0966835   17.7200012   0.8881119   -19.5994205   0.6630268   -19.5579166   0.6491832   1       0.3145039979745349    
  J143450.63+033842.6   52023-0586-234   218.71095   3.645163     0.028165   -14.67      114963   487282    218.710954075   3.645157141     0.0283374   14.8785744   17.7200012   0.960177    -19.7670212   0.664291    -19.7649307   0.6669575   1       0.025675442566954424  
  J171518.57+573931.6   51788-0355-500   258.82738   57.658783    0.028177   -14.11      29633    199772    258.827357923   57.658860516    0.0282021   14.7919159   17.5700016   0.8621701   -19.9075394   0.9514294   -19.7426186   0.975483    1       0.2822779619606062    
  J162012.76+400906.2   52753-1171-138   245.05315   40.15172     0.028476   -14.23      245724   1005056   245.05315641    40.151719783    0.0285078   14.8772688   17.7200012   0.9701493   -19.8903732   0.5143439   -19.88554     0.5389048   1       0.017655193308504024  
  J114107.56-024910.9   52282-0328-197   175.28149   -2.819687    0.028737   -14.75      23100    174045    175.281491801   -2.819670459    0.0288437   14.8557768   17.5700016   0.9337176   -19.7947769   0.6755816   -19.7968712   0.770909    1       0.059898681176576464  
  J173809.30+584253.7   52017-0366-632   264.53876   58.714904    0.028761   -14.67      157810   603870    264.538732196   58.714991648    0.0286978   14.2499275   17.5700016   0.8509616   -20.3887768   0.7816547   -20.5434055   0.8430561   1       0.31978543869644727   
  J111349.74+093510.7   52763-1222-341   168.45725   9.586292     0.028969   -13.60      257116   1059637   168.457287964   9.58630908      0.0292507   13.4143162   17.7200012   0.9615384   -21.3726501   0.6014136   -21.3383789   0.6564769   1       0.14812679985437582   
  J142704.55+355409.6   53144-1644-547   216.76896   35.902656    0.029031   -14.41      406361   1442054   216.768983249   35.90265826     0.0289694   14.9713526   17.7200012   0.9060606   -19.7793655   0.8598785   -19.7912598   0.8560486   1       0.06828174183869651   
  J111254.48+093050.4   52763-1222-358   168.22701   9.513991     0.029075   -15.36      257108   1059626   168.227053156   9.514014845     0.0290745   15.3805552   17.7200012   0.9615384   -19.3986225   0.8541644   -19.3943272   0.842644    1       0.17563211146362262   
  J173159.22+595818.0   52017-0366-564   262.99673   59.971676    0.029196   -14.57      164095   731119    262.996708171   59.971716594    0.0291196   15.2221432   17.5700016   0.927835    -19.5543156   0.9525205   -19.5713596   0.9848558   1       0.15133721162397384   
  J130615.17+585733.2   52410-0958-279   196.5632    58.959224    0.029208   -14.52      214494   921027    196.563194851   58.959300002    0.0292329   16.4633026   17.7200012   0.908       -18.3587399   0.6268673   -18.3710899   0.6590443   1       0.2737741039180675    
  J112408.65-010927.9   51612-0280-050   171.03603   -1.157762    0.029288   -13.42      765      37814     171.03596933    -1.157731874    0.0293363   14.3876743   17.6000004   0.8625      -20.4054089   0.5895763   -20.4513741   0.6210819   1       0.24381655026180887   
  J131305.81+012755.9   52295-0525-091   198.2742    1.465541     0.029361   -14.36      49582    263597    198.274202883   1.465539625     0.0293504   15.1381073   17.7200012   0.8883929   -19.6678009   0.811426    -19.6864491   0.8166197   1       0.011495717823740956  
  J024912.87-081525.7   51910-0456-077   42.303617   -8.257135    0.029439   -14.56      72646    327391    42.303611479    -8.257144928    0.0294296   15.7966671   17.6200008   0.8592814   -18.9376984   0.7024829   -19.2370358   0.7338206   1       0.04079578849456688   
  J083803.67+540642.2   51899-0446-271   129.51531   54.111729    0.029462   -15.33      38775    228456    129.515253891   54.111766274    0.0295121   17.1374989   17.6200008   0.8672199   -17.6596298   0.8413572   -17.6593838   0.862525    1       0.17896013718021742   
  J231815.67+001540.2   51816-0382-514   349.56529   0.261179     0.029773   -14.29      526663   2104809   349.565293812   0.261161224     0.029794    14.0250511   17.6200008   1.0         -20.6928482   0.7260562   -20.6578064   0.83702     1       0.06544847705293522   
  J144331.27+492335.2   52733-1047-495   220.88029   49.393125    0.030161   -14.95      236692   980768    220.880337314   49.3930941      0.0301798   14.2585163   17.7200012   0.9137931   -20.5921707   0.7676573   -20.6468697   0.8445807   1       0.15705018832661508   
  J153552.40+575409.5   52347-0615-108   233.96835   57.902639    0.030319   -12.83      119311   501711    233.968300424   57.902682233    0.0302266   14.8043566   17.7200012   0.8598485   -20.1214142   0.2298848   -20.1376209   0.3529831   1       0.18225489604092074   
  J123651.18+453904.2   53062-1372-412   189.21325   45.651162    0.030419   -13.74      316290   1236962   189.213324462   45.651161296    0.030345    14.1203041   17.7200012   0.9263566   -20.6821289   0.6035193   -20.7038536   0.6285494   1       0.18740003851816725   
  J121607.09+504930.1   52413-0970-456   184.02955   50.825021    0.030808   -13.08      207414   901426    184.029512994   50.825134784    0.0310381   14.5805244   17.7200012   0.8925233   -20.3186016   0.8499594   -20.3843517   0.848897    1       0.41817763474396913   
  J030834.31+003303.3   51817-0411-623   47.142961   0.550924     0.030824   -14.75      251395   1032621   47.142968048    0.550919625     0.0307772   14.9227448   17.6200008   0.9868421   -19.9662743   0.9367639   -19.9601307   0.9620401   1       0.029862718567014446  
  J155909.63+350147.5   53141-1417-078   239.79012   35.029857    0.031003   -13.78      393912   1413891   239.790131571   35.029859949    0.0310237   13.8853254   17.7200012   1.0         -21.0772667   0.5376461   -20.6880074   0.5495574   1       0.035723764637830835  
  J074507.25+460420.7   53055-1737-261   116.28022   46.07242     0.031301   -14.60      419287   1705640   116.280216213   46.072419129    0.0312375   13.8419952   17.7200012   0.9316239   -21.0928268   0.7550324   -21.10993     0.8903035   1       0.009964236298074804  
  J232124.79-005908.4   51818-0383-299   350.3533    -0.985654    0.031427   -15.23      167723   754844    350.353289      -0.985696098    0.0313891   14.6038294   17.6200008   0.972973    -20.2385082   0.9236866   -20.3756618   0.9513565   1       0.1566395452083156    
  J110016.03+461615.2   53054-1436-495   165.0668    46.270893    0.031777   -13.89      287743   1171579   165.066832889   46.27092292     0.0313835   16.1202774   17.7200012   0.8909091   -18.7352695   0.5709564   -18.9094353   0.6280777   1       0.1352787829194462    
  J230920.26+004523.5   51811-0381-455   347.33443   0.756515     0.032279   -14.19      416723   1692188   347.334441271   0.756502419     0.0323993   13.7682257   17.6200008   0.9493671   -21.1443768   0.9008661   -21.1598797   0.9116941   1       0.06080642521998226   
  J161927.81+395832.3   52759-1172-346   244.86588   39.975635    0.03239    -15.18      249234   1014872   244.865862411   39.975645382    0.0323899   15.0725689   17.7200012   1.0         -19.8351669   0.9036487   -19.9947834   0.9277595   1       0.06124899672843437   
