name,z,flux,luminous
J083732.70+284218.7,0.011585,-13.93,39.545662
J033013.26-053236.1,0.013147,-14.45,39.136555
J094529.37+093610.4,0.013277,-13.37,40.225188
J155252.84+403848.2,0.015107,-14.02,39.688551
J080538.66+261005.5,0.016953,-13.95,39.859901
J110233.29-001727.6,0.017294,-15.25,38.577423
J033458.00-054853.3,0.018324,-14.88,38.998348
J011059.31+002601.1,0.018843,-14.36,39.542947
J120114.35-034041.0,0.019549,-13.11,40.825358
J112536.17+542257.2,0.020642,-13.49,40.493327
J120257.82+045045.1,0.020675,-14.35,39.634736
J111607.65+412353.2,0.020843,-14.42,39.571875
J114530.26+094344.8,0.021371,-14.84,39.173949
J132428.24+044629.6,0.02143,-14.44,39.576382
J082510.23+375919.8,0.021431,-13.6,40.416423
J093812.26+074340.1,0.021895,-13.98,40.055331
J133815.87+043233.3,0.022975,-13.11,40.967855
J100207.04+030327.7,0.023176,-13.78,40.305552
J121754.98+583935.7,0.023253,-13.76,40.328483
J080740.99+390015.3,0.023496,-13.47,40.627671
J122324.14+024044.4,0.023579,-13.86,40.240788
J130620.97+531823.2,0.023679,-15.01,39.094529
J134632.13+642325.2,0.024094,-13.37,40.749889
J115341.78+461242.3,0.024415,-13.96,40.171594
J140040.57-015518.3,0.024997,-13.12,41.032434
J092438.89+560747.0,0.025041,-14.11,40.04399
J164721.48+444209.8,0.025651,-15.02,39.155291
J112637.74+513423.0,0.026443,-14.4,39.802217
J080020.99+263648.7,0.026773,-13.33,40.883203
J133248.70+415218.6,0.027065,-14.47,39.752814
J114343.76+550019.3,0.027067,-14.63,39.592879
J004042.10-110957.6,0.027287,-15.26,38.970053
J140718.29+125314.0,0.027368,-14.71,39.52268
J111857.69+580323.6,0.027872000000000004,-13.9,40.348856
J162012.76+400906.2,0.028476,-14.23,40.037867
J114107.56-024910.9,0.028737,-14.75,39.525961
J173809.30+584253.7,0.028761,-14.67,39.606701
J111349.74+093510.7,0.028969,-13.6,40.683095
J142704.55+355409.6,0.029031,-14.41,39.874992
J130615.17+585733.2,0.029208,-14.52,39.770385
J112408.65-010927.9,0.029288,-13.42,40.872813
J131305.81+012755.9,0.029361,-14.36,39.935022
J083803.67+540642.2,0.029462,-15.33,38.96807
J231815.67+001540.2,0.029773,-14.29,40.017391
J144331.27+492335.2,0.030161,-14.95,39.368887
J153552.40+575409.5,0.030319,-12.83,41.493527
J123651.18+453904.2,0.030419,-13.74,40.586452
J155909.63+350147.5,0.031003,-13.78,40.563345
J074507.25+460420.7,0.031301,-14.6,39.751846
J110016.03+461615.2,0.031777,-13.89,40.475261
J230920.26+004523.5,0.032279,-14.19,40.189198
J161927.81+395832.3,0.032389999999999995,-15.18,39.202251
J154744.15+412408.3,0.032609,-13.44,40.948244
J134952.84+020445.1,0.032847,-13.1,41.294714
J164045.62+431656.8,0.033152999999999995,-14.71,39.692964
J112628.73+472453.8,0.03333,-14.34,40.067702
J075525.29+391109.9,0.033513,-13.68,40.732576
J162345.89+410456.4,0.033522,-13.12,41.292815
J110501.98+594103.6,0.033762,-13.77,40.649165
J011448.68-002946.1,0.033828,-14.13,40.290904
J164107.64+224924.8,0.033871,-13.8,40.622034
J112255.74+523825.3,0.033901,-14.28,40.142823
J161809.38+361957.8,0.033977,-14.2,40.224816
J162636.40+350242.1,0.034012,-14.85,39.575733
J140018.43+050242.2,0.034201,-12.91,41.520667
J120704.75+090647.9,0.034427,-14.7,39.736533
J215512.42+005906.5,0.035011,-14.83,39.621517
J165124.40+243121.4,0.035181,-14.81,39.645833
J092512.85+521710.3,0.035264,-12.85,41.607933
J095955.85+130237.8,0.035463,-13.88,40.582948
J140941.70+372905.0,0.035705,-14.85,39.61901
J034547.98-000025.6,0.035929,-13.97,40.504585
J143452.46+483942.8,0.036489,-13.53,40.958376
J150511.42-020831.0,0.037129,-15.14,39.363887
J090436.95+553602.7,0.037142,-13.72,40.784199
J163348.87+355318.5,0.037511,-14.17,40.343021
J111117.96+113315.8,0.038069,-14.67,39.856202
J163453.67+231242.7,0.038606,-13.79,40.74871
J145901.36+611353.6,0.038767,-14.28,40.262427
J040929.15-042902.6,0.038801,-13.97,40.57321
J004719.40+144212.6,0.039155,-13.81,40.741324
J092115.56+101741.1,0.039262,-14.15,40.403763
J093551.59+612111.5,0.03933,-14.55,40.005309
