dr7objid,ra,dec,length_avg,length_stdev,width_avg,width_stdev,length_scaled,bar_meas,gz2id,kind,z,abs_mag,color(g-r),galaxyid,mass,Mr,Redshift
587722981747982465,198.05199,-1.0951362,5.841887,0.32031392,2.3284724,0.95103847,0.46110882,3,152693.0,SF,0.0408906,-18.8442192,0.3923557,1089.0,9.416246000000001,-19.697292,0.0408906
587722981752438860,208.22692,-1.1146163999999998,3.240697,0.74189323,0.60321635,0.19786181,0.33958448,4,931.0,unmatched,0.00461133,,,,,-18.268068,0.00461133
587722982286426253,201.59344,-0.81657638,5.1710535,0.60652047,1.4347276000000002,0.11780876,0.40678327,3,141644.0,low S/N SF,0.0431562,-18.9887772,0.4651861,2083.0,9.560630999999999,-19.885744,0.0431562
587722982290686153,211.35525,-0.81134372,10.311853,2.3528068,3.4830708,1.9549095,0.42814525,4,9624.0,Composite,0.0492742,-21.2045135,0.7214104,2207.0,10.646399,-22.132046,0.0492742
587722982292521047,215.52468,-0.66928292,11.513937,3.1332548,2.4970712,1.0213344000000002,0.43900814,4,42472.0,Low S/N Liner,0.054942200000000004,-20.5064869,0.7671031,2289.0,10.399096,-21.323520000000002,0.054942200000000004
587722982297698726,227.44005,-0.75419743,11.045412,1.3827998,3.0857919,2.3646526000000003,0.38563508,4,38277.0,Low S/N Liner,0.059555399999999994,-20.7563496,0.8238268,2439.0,10.545380999999999,-21.580343,0.059555399999999994
587722982299402394,231.34866,-0.70996443,11.771382,0.33809153,2.4884787,0.76670991,0.51823614,5,19204.0,low S/N SF,0.0380909,-20.1524181,0.7531392,2485.0,10.248472999999999,-21.067242,0.0380909
587722982815760526,184.46848,-0.36212063,9.0878621,1.5993672,1.4519552,0.18241423,0.52973887,4,25610.0,Low S/N Liner,0.040355300000000004,-20.0860634,0.773428,2824.0,10.232789,-20.966375,0.040355300000000004
587722982822379684,199.49823,-0.29533663,7.3381615999999985,0.48576476,1.621484,1.173844,0.35775623,3,23472.0,unmatched,0.033516000000000004,,,,,-20.607933,0.033516000000000004
587722982827622551,211.50594,-0.31055397,4.436449700000002,0.4411895000000001,1.3371159,0.55746218,0.2438721,4,5967.0,low S/N SF,0.0245645,-19.973484,0.5278196999999999,3243.0,9.980682,-20.819809,0.0245645
587722982832668754,223.04597,-0.25610106,7.312831599999999,1.65673,1.9284258,0.77295309,0.29858026,3,5547.0,AGN non-Liner,0.043250699999999996,-21.266250600000006,0.8827101999999999,3452.0,10.796949,-22.17606,0.043250699999999996
587722983353810983,187.11303,0.14240517,3.2059531000000003,1.2246808,1.441776,0.4082251,0.2368361,3,30253.0,low S/N SF,0.0229931,-18.7444,0.55699,4153.0,9.526752,-19.591005,0.0229931
